1.treedepth__,2.treedepth__,3.treedepth__,4.treedepth__,5.treedepth__,6.treedepth__,1.divergent__,2.divergent__,3.divergent__,4.divergent__,5.divergent__,6.divergent__,1.energy__,2.energy__,3.energy__,4.energy__,5.energy__,6.energy__,1.accept_stat__,2.accept_stat__,3.accept_stat__,4.accept_stat__,5.accept_stat__,6.accept_stat__,1.stepsize__,2.stepsize__,3.stepsize__,4.stepsize__,5.stepsize__,6.stepsize__,1.n_leapfrog__,2.n_leapfrog__,3.n_leapfrog__,4.n_leapfrog__,5.n_leapfrog__,6.n_leapfrog__
5,5,5,5,5,5,0,0,0,0,0,0,24693.7,25154.3,24756.7,24931.3,24827.5,24923.3,0.808356,0.951369,0.393473,0.57081,0.56182,0.978474,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24676.1,24969.7,24866.7,25034.6,24801.9,25038.3,0.755997,0.942078,0.565212,0.753846,0.711569,0.918147,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24713,24939.7,25048.8,24841,24875.9,25137.4,0.743992,0.78784,1,0.934138,0.60306,0.887038,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24714,24942.1,25042.3,24939.9,24996.4,25136.7,0.435151,0.973691,0.920747,0.779796,0.753835,0.982377,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24799.5,24973.8,24996.5,24851.6,24972.3,25140.2,0.880625,0.89659199999999994,0.996011,0.608416,1,0.964826,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24950.5,24833.7,24865.2,24854.4,24894.7,24949.7,0.63706,0.82427,0.920398,0.524997,0.959229,0.995246,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24925.7,24924.1,24989.6,24896.9,24852.7,24884.1,0.967959,0.680411,0.518076,0.662482,0.950905,0.928698,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24971.5,25005.8,25071.7,24888.8,24887.2,24741.1,0.990118,0.979444,0.866941,0.904623,0.805296,0.927253,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24933.1,24961.9,25066.8,24829.1,24747.9,24702.5,0.965692,0.806512,0.986442,0.868878,0.931665,0.671186,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,25067.7,24961,25025.5,24936.8,24840.1,24851.5,0.833418,0.8072,0.793283,0.851494,0.69068,0.885783,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,25006.9,24909.2,24907.9,24942.1,24795.3,24725.3,0.904732,0.754134,0.95676,0.959279,0.81126,0.917669,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24876.3,24991,24879.4,24952.8,24751.1,24870.9,0.972649,0.928119,0.738332,0.929921,0.618697,0.873851,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24880.9,24911.7,24913.8,24999.4,24865.7,24802.6,0.874149,0.999035,0.63011,0.536544,0.745166,0.903725,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24818.3,24863.8,24938.7,25096.5,24765.5,24859.4,0.574251,0.751626,0.649382,0.50743,0.968917,0.739033,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24797.7,24857.8,24906.3,25135.6,24809.6,24944.2,0.837741,0.961292,0.711148,0.960501,0.807345,0.673093,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24838.4,24925.2,24895.5,25183.5,24899.5,24858.7,0.66826,0.785359,0.769575,0.991392,0.890147,0.764052,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24806.8,24980,24848,25085.8,24935.3,24911.5,0.888701,0.855653,0.53758,0.902613,0.85046600000000006,0.90081,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24853.8,25021.2,24736.7,24925.8,24796.7,24978,0.97758,0.960786,0.827086,0.750487,0.95057,0.859124,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24839.7,24942.3,24804.5,24869.5,24747,24922.9,0.811654,0.97162,0.893014,0.577904,0.768268,0.942594,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24952.9,24729.8,24798,24934.6,24805.7,24851.1,0.763186,0.991122,0.900992,0.899969,0.845176,0.937598,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24788.9,24878.3,24735.9,24895.2,24761.7,25007,0.993272,0.64432,0.780819,0.887316,0.669295,0.972604,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24797.6,25048.4,24842.6,25002.5,24791.5,24922.4,0.852353,0.750014,0.818714,0.913628,0.699052,0.887136,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24750,24965.4,24797.1,24924.5,24707.9,24849.3,0.963924,0.91547,0.837552,0.978413,0.851305,0.939089,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24784.9,24802.2,24818,24859.8,24731.6,24682.3,0.695185,0.831064,0.626408,0.876783,0.499098,0.921291,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24918.9,24818,24817,24904.5,24728.4,24676.8,0.81982,0.927197,0.978702,0.814747,0.799733,0.974205,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24772.9,24820.7,24853.6,24990.8,24800.9,24838.6,0.941549,0.481172,0.826863,0.522437,0.501825,0.925208,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24798.8,24861.6,24866.6,24869.7,24890.1,24867.3,0.556742,0.816333,0.999792,0.929473,0.812725,0.766278,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24836.3,24899.6,24973.2,24838.9,24985.6,24895.5,0.742925,0.961689,0.82311,0.721791,0.815074,0.804884,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
5,5,5,5,5,5,0,0,0,0,0,0,24893.7,24895.1,24992,24873.5,24987.1,24772.7,0.9159,0.786882,0.950893,0.779949,0.985062,0.888952,0.12616,0.126861,0.14166,0.135896,0.128324,0.119092,31,31,31,31,31,31
