variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
id[1],3402,3402,0,0,3402,3402,NA,NA,NA
id[2],4096,4096,0,0,4096,4096,NA,NA,NA
id[3],4407,4407,0,0,4407,4407,NA,NA,NA
id[4],4495,4495,0,0,4495,4495,NA,NA,NA
id[5],5766,5766,0,0,5766,5766,NA,NA,NA
id[6],5839,5839,0,0,5839,5839,NA,NA,NA
id[7],5898,5898,0,0,5898,5898,NA,NA,NA
id[8],6107,6107,0,0,6107,6107,NA,NA,NA
id[9],6648,6648,0,0,6648,6648,NA,NA,NA
id[10],6696,6696,0,0,6696,6696,NA,NA,NA
id[11],7016,7016,0,0,7016,7016,NA,NA,NA
id[12],7397,7397,0,0,7397,7397,NA,NA,NA
id[13],7882,7882,0,0,7882,7882,NA,NA,NA
id[14],8592,8592,0,0,8592,8592,NA,NA,NA
id[15],8782,8782,0,0,8782,8782,NA,NA,NA
id[16],9250,9250,0,0,9250,9250,NA,NA,NA
id[17],9733,9733,0,0,9733,9733,NA,NA,NA
id[18],10182,10182,0,0,10182,10182,NA,NA,NA
id[19],10189,10189,0,0,10189,10189,NA,NA,NA
id[20],10201,10201,0,0,10201,10201,NA,NA,NA
id[21],10283,10283,0,0,10283,10283,NA,NA,NA
id[22],10624,10624,0,0,10624,10624,NA,NA,NA
id[23],11575,11575,0,0,11575,11575,NA,NA,NA
id[24],11896,11896,0,0,11896,11896,NA,NA,NA
id[25],12001,12001,0,0,12001,12001,NA,NA,NA
id[26],12145,12145,0,0,12145,12145,NA,NA,NA
id[27],12255,12255,0,0,12255,12255,NA,NA,NA
id[28],12256,12256,0,0,12256,12256,NA,NA,NA
id[29],12763,12763,0,0,12763,12763,NA,NA,NA
id[30],12769,12769,0,0,12769,12769,NA,NA,NA
id[31],13048,13048,0,0,13048,13048,NA,NA,NA
id[32],13091,13091,0,0,13091,13091,NA,NA,NA
id[33],13295,13295,0,0,13295,13295,NA,NA,NA
id[34],13353,13353,0,0,13353,13353,NA,NA,NA
id[35],13812,13812,0,0,13812,13812,NA,NA,NA
id[36],14057,14057,0,0,14057,14057,NA,NA,NA
id[37],14537,14537,0,0,14537,14537,NA,NA,NA
id[38],14647,14647,0,0,14647,14647,NA,NA,NA
id[39],14827,14827,0,0,14827,14827,NA,NA,NA
id[40],14909,14909,0,0,14909,14909,NA,NA,NA
id[41],14958,14958,0,0,14958,14958,NA,NA,NA
id[42],15201,15201,0,0,15201,15201,NA,NA,NA
id[43],16355,16355,0,0,16355,16355,NA,NA,NA
id[44],16531,16531,0,0,16531,16531,NA,NA,NA
id[45],16582,16582,0,0,16582,16582,NA,NA,NA
id[46],16593,16593,0,0,16593,16593,NA,NA,NA
id[47],16806,16806,0,0,16806,16806,NA,NA,NA
id[48],16848,16848,0,0,16848,16848,NA,NA,NA
id[49],17462,17462,0,0,17462,17462,NA,NA,NA
id[50],17696,17696,0,0,17696,17696,NA,NA,NA
id[51],17868,17868,0,0,17868,17868,NA,NA,NA
id[52],17995,17995,0,0,17995,17995,NA,NA,NA
id[53],18044,18044,0,0,18044,18044,NA,NA,NA
id[54],18287,18287,0,0,18287,18287,NA,NA,NA
id[55],18388,18388,0,0,18388,18388,NA,NA,NA
id[56],18479,18479,0,0,18479,18479,NA,NA,NA
id[57],18731,18731,0,0,18731,18731,NA,NA,NA
id[58],18944,18944,0,0,18944,18944,NA,NA,NA
id[59],19078,19078,0,0,19078,19078,NA,NA,NA
id[60],19082,19082,0,0,19082,19082,NA,NA,NA
id[61],20188,20188,0,0,20188,20188,NA,NA,NA
id[62],20204,20204,0,0,20204,20204,NA,NA,NA
id[63],20521,20521,0,0,20521,20521,NA,NA,NA
id[64],21248,21248,0,0,21248,21248,NA,NA,NA
id[65],21540,21540,0,0,21540,21540,NA,NA,NA
id[66],21638,21638,0,0,21638,21638,NA,NA,NA
id[67],21674,21674,0,0,21674,21674,NA,NA,NA
id[68],21880,21880,0,0,21880,21880,NA,NA,NA
id[69],22186,22186,0,0,22186,22186,NA,NA,NA
id[70],22565,22565,0,0,22565,22565,NA,NA,NA
id[71],22688,22688,0,0,22688,22688,NA,NA,NA
id[72],23214,23214,0,0,23214,23214,NA,NA,NA
id[73],23461,23461,0,0,23461,23461,NA,NA,NA
id[74],23713,23713,0,0,23713,23713,NA,NA,NA
id[75],24179,24179,0,0,24179,24179,NA,NA,NA
id[76],24669,24669,0,0,24669,24669,NA,NA,NA
id[77],24851,24851,0,0,24851,24851,NA,NA,NA
id[78],25270,25270,0,0,25270,25270,NA,NA,NA
id[79],25359,25359,0,0,25359,25359,NA,NA,NA
id[80],25611,25611,0,0,25611,25611,NA,NA,NA
id[81],25719,25719,0,0,25719,25719,NA,NA,NA
id[82],26191,26191,0,0,26191,26191,NA,NA,NA
id[83],26767,26767,0,0,26767,26767,NA,NA,NA
id[84],27086,27086,0,0,27086,27086,NA,NA,NA
id[85],27398,27398,0,0,27398,27398,NA,NA,NA
id[86],27477,27477,0,0,27477,27477,NA,NA,NA
id[87],27517,27517,0,0,27517,27517,NA,NA,NA
id[88],27599,27599,0,0,27599,27599,NA,NA,NA
id[89],27683,27683,0,0,27683,27683,NA,NA,NA
id[90],28033,28033,0,0,28033,28033,NA,NA,NA
id[91],28852,28852,0,0,28852,28852,NA,NA,NA
id[92],29217,29217,0,0,29217,29217,NA,NA,NA
id[93],29293,29293,0,0,29293,29293,NA,NA,NA
id[94],29528,29528,0,0,29528,29528,NA,NA,NA
id[95],29529,29529,0,0,29529,29529,NA,NA,NA
id[96],29916,29916,0,0,29916,29916,NA,NA,NA
id[97],30119,30119,0,0,30119,30119,NA,NA,NA
id[98],30665,30665,0,0,30665,30665,NA,NA,NA
id[99],31126,31126,0,0,31126,31126,NA,NA,NA
id[100],31386,31386,0,0,31386,31386,NA,NA,NA
id[101],31436,31436,0,0,31436,31436,NA,NA,NA
id[102],31460,31460,0,0,31460,31460,NA,NA,NA
id[103],31620,31620,0,0,31620,31620,NA,NA,NA
id[104],32349,32349,0,0,32349,32349,NA,NA,NA
id[105],32481,32481,0,0,32481,32481,NA,NA,NA
id[106],33284,33284,0,0,33284,33284,NA,NA,NA
id[107],33661,33661,0,0,33661,33661,NA,NA,NA
id[108],34135,34135,0,0,34135,34135,NA,NA,NA
id[109],34461,34461,0,0,34461,34461,NA,NA,NA
id[110],34472,34472,0,0,34472,34472,NA,NA,NA
id[111],34601,34601,0,0,34601,34601,NA,NA,NA
id[112],34657,34657,0,0,34657,34657,NA,NA,NA
id[113],35498,35498,0,0,35498,35498,NA,NA,NA
id[114],36153,36153,0,0,36153,36153,NA,NA,NA
id[115],36817,36817,0,0,36817,36817,NA,NA,NA
id[116],36971,36971,0,0,36971,36971,NA,NA,NA
id[117],37894,37894,0,0,37894,37894,NA,NA,NA
id[118],38030,38030,0,0,38030,38030,NA,NA,NA
id[119],38367,38367,0,0,38367,38367,NA,NA,NA
id[120],38497,38497,0,0,38497,38497,NA,NA,NA
id[121],38562,38562,0,0,38562,38562,NA,NA,NA
id[122],38668,38668,0,0,38668,38668,NA,NA,NA
id[123],39256,39256,0,0,39256,39256,NA,NA,NA
id[124],39372,39372,0,0,39372,39372,NA,NA,NA
id[125],39700,39700,0,0,39700,39700,NA,NA,NA
id[126],39722,39722,0,0,39722,39722,NA,NA,NA
id[127],40314,40314,0,0,40314,40314,NA,NA,NA
