PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
85258,339.210961,14.51548,0,41.18485097298456,10.3532,1.2110164139561475,S18,UVOIR-SED,11.423384307024719,S18,UVOIR-SED,8.75329987890082,O3N2/C20,17.78852,16.19173,15.54122,15.14017,14.9732,14.8871002197266,0.02491104,0.003687141,0.003142987,0.003300525,0.007616336,0.00431999983265996,SSSSSP,111111,3.0,SVM3d,,,,,,,,,,,1.2110164139561475,16.25610193763909,11.423384307024719,2.6508448326459177E11,6.132423043944525E-11,-10.21236789306857,1397
140323,216.777332,45.043712,0,42.92885748210959,10.680953,-2.0678486344409137,K23,noEBV,8.283931991003103,K23,g_r_PSDR2_noEBV,8.404423385398308,O3N2/C20,18.02959,16.97055,16.51939,16.34041,16.17473,16.3442001342773,0.01491896,0.004217431,0.004218599,0.005047508,0.01347597,0.00861100014299154,SSSSSP,000001,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-2.0678486344409137,0.008553647830050987,8.283931991003103,1.922790603049773E8,4.4485592016540395E-11,-10.351780625444016,3151
4005736,230.05653,40.050409,0,44.487799805099286,10.973711,,,,,,,8.109329254963658,O3N2/C20,18.47796,17.81288,17.64196,17.60421,17.62009,17.465799331665,0.02419896,0.006573597,0.008812266,0.01261929,0.05235995,0.0189210008829832,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,,,,,,,3199
91242,195.278386,-3.376319,0,44.09959698047835,10.900877,-1.3159817030429326,L19,WISE4,8.184018296957069,L19,W4W1,8.509048502616668,O3N2/C20,15.75857162475586,16.19039535522461,15.57342529296875,15.440971374511719,14.807671546936035,,0.06193535029888153,0.021812569350004196,0.050073448568582535,0.18027392029762268,0.12472932785749435,,NNNNNM,111112,0.0,SVM3d,,,,,,,,,,,-1.3159817030429326,0.04830791538810171,8.184018296957069,1.527630416410988E8,3.1622776601683697E-10,-9.500000000000002,3217
58989,251.860613,21.125703,0,42.265426347064164,10.556338,-1.8665126560830512,K23,noEBV,8.643797109203609,K23,u_r_SDSSDR17_noEBV_median,8.405426958414486,MZ/C20,21.10338,19.22723,20.22435,19.99771,21.00222,,0.2340214,0.01288269,0.03286514,0.05071889,0.744808,,SSSSSM,111112,0.0,PH,0.7622919690373984,0.0766797483680235,0.06510595984146478,0.05598947939156027,0.03993284336155304,,,,,,-1.8665126560830512,0.013598385346893645,8.643797109203609,4.403490960951488E8,3.088092031408499E-11,-10.51030976528666,3234
1968406,180.054794,31.865594,0,49.28440330535146,11.873041,-2.841953451549281,S18,UVOIR-SED,8.125966260027937,S18,UVOIR-SED,8.406854335141565,O3N2/C20,18.204875946044922,17.32611083984375,17.04181480407715,16.812665939331055,16.804100036621094,17.1319999694824,0.08257032185792923,0.015130643732845783,0.012757549062371254,0.02678932249546051,0.05157461762428284,0.0161249991506338,NNNNNP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-2.841953451549281,0.0014389527994970112,8.125966260027937,1.3364916816013758E8,1.0766642391465297E-11,-10.967919711577219,3260
37323,178.496852,12.198465,0,46.225137659491295,11.299757,-1.1294795567208222,L19,FUV+WISE4,9.120520443279178,L19,SSFRLIKE,8.567647461189933,O3N2/C20,16.315200805664062,15.528785705566406,15.037412643432617,14.827852249145508,14.874500274658203,14.8971004486084,0.028793498873710632,0.020519297569990158,0.008712668903172016,0.01436628308147192,0.03146514296531677,0.00560399983078241,NNNNNP,111111,0.0,SVM3d,,,,,,,,,,,-1.1294795567208222,0.07421991340036216,9.120520443279178,1.3198374381473596E9,5.6234132519034906E-11,-10.25,3261
4005758,230.33629,39.949089,0,43.39838508885853,10.76915,-2.2229073640480776,K23,noEBV,7.870157295522398,K23,u_r_SDSSDR17_noEBV,8.057561271499297,O3N2/C20,18.26429,17.43906,17.14734,17.11908,17.02515,17.3029003143311,0.0195417,0.005287125,0.006194174,0.008513918,0.0322412,0.0160429999232292,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-2.2229073640480776,0.005985392511614722,7.870157295522398,7.415787823609647E7,8.071148546832779E-11,-10.093064659570476,3270
1124767,333.497712,-1.18517,0,45.75946077124387,11.212414,-2.781297381488639,S18,UVOIR-SED,8.391858437488363,S18,UVOIR-SED,8.370828339814095,O3N2/C20,18.43195,17.46025,16.97514,16.70368,16.58921,,0.05103038,0.01012615,0.01141132,0.01769909,0.04018668,,SSSSSM,111112,0.0,SVM3d,,,,,,,,,,,-2.781297381488639,0.0016546365693955773,8.391858437488363,2.4652356387140077E8,6.711879965595174E-12,-11.173155818977001,3275
5064958,156.183998,18.023145,0,50.832124511650846,12.16267,-2.7872264400388564,S18,UVOIR-SED,7.8591182589772615,S18,UVOIR-SED,,,18.67672348022461,17.897777557373047,17.62202262878418,17.477493286132812,17.086936950683594,17.6103992462158,0.09334037452936172,0.015152626670897007,0.01964525878429413,0.025720933452248573,0.09568703174591064,0.0238220002502203,NNNNNP,111111,,,,,,,,,,,,,-2.7872264400388564,0.0016322007006983848,7.8591182589772615,7.229666415997353E7,2.2576431702114958E-11,-10.646344699016119,3424
213955,183.603291,63.770532,0,47.337580894603335,11.508302,-1.5093640026626178,K23,noEBV,8.856143988916022,K23,u_r_SDSSDR17_noEBV,8.5742284098019,O3N2/C20,16.693737030029297,15.621788024902344,15.202486038208008,14.961938858032227,14.82864761352539,14.9694004058838,0.05455849692225456,0.008090326562523842,0.003002077341079712,0.007265378255397081,0.01985009014606476,0.00787399988621473,NNNNNP,111111,0.0,SVM3d,,,,,,,,,,,-1.5093640026626178,0.030948242938487646,8.856143988916022,7.180323130780818E8,4.3101462670694884E-11,-10.36550799157864,3440
2571070,146.107019,57.788502,0,49.06850513715019,11.832641,-2.8469213120102865,S18,UVOIR-SED,7.899972414931143,S18,UVOIR-SED,8.455632362982996,O3N2/C20,18.50363,17.81761,17.42163,17.31433,17.21165,17.4304008483887,0.03270049,0.008177758,0.0089654,0.01081219,0.0427532,0.0272630006074905,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,-2.8469213120102865,0.0014225865162384801,7.899972414931143,7.94277783005232E7,1.7910440738452698E-11,-10.74689372694143,3526
24031,128.516802,52.00209,0,46.047549625541635,11.26647,-1.1277433317752146,L19,WISE4,9.352256668224786,L19,W4W1,8.696354284492278,O3N2/C20,16.81065,15.03543,14.55067,14.27104,14.11352,14.1764001846313,0.02109851,0.003048014,0.002765175,0.00285614,0.006654682,0.00409800000488758,SSSSSP,111111,3.0,PH,0.05875273273641103,0.2327439605242029,0.09581202774266821,0.5475754187581039,0.0651158602386139,,,,,,-1.1277433317752146,0.07451722409076672,9.352256668224786,2.2503841909249396E9,3.311311214825905E-11,-10.48,3527
2290298,239.268459,46.977424,0,44.32264662944071,10.9427,,,,8.008495398455244,K23,g_r_PSDR2_noEBV,8.40296556139237,O3N2/C20,18.35142,17.42091,17.36852,17.1733,17.1739,17.2607002258301,0.04366831,0.008446213,0.02477476,0.02226807,0.06808733,0.0230480004101992,SSSSSP,000001,0.0,SVM3d,,,,,,,,,,,,,8.008495398455244,1.0197539552371033E8,,,3530
3103775,319.92662,-7.54003,0,42.730563046271506,10.643682,,,,8.201028507971223,K23,u_r_SDSSDR17_noEBV,8.152964277173414,O3N2/C20,18.5781,17.25736,16.90588,17.11388,17.14709,17.7350997924805,0.03328489,0.008523223,0.009623446,0.0148062,0.0543674,0.0278559997677803,SSSSSP,111111,0.0,SoDDA,1.0,0.0,0.0,0.0,,,,,,,,,8.201028507971223,1.5886510274529245E8,,,3534
2021655,178.970475,33.046555,0,49.45466223263015,11.904905,-2.0197593678695576,S18,UVOIR-SED,8.468610137320997,S18,UVOIR-SED,8.462341021849516,O3N2/C20,16.69461441040039,16.01760482788086,15.823799133300781,15.620523452758789,15.375768661499023,,0.05017900839447975,0.011703340336680412,0.010123612359166145,0.01409468986093998,0.03577962517738342,,NNNNNM,111112,,,,,,,,,,,,,-2.0197593678695576,0.009555218710704595,8.468610137320997,2.941779636101634E8,3.248108251699951E-11,-10.488369505190555,3555
4005869,231.833488,48.873576,0,41.74303720849732,10.458183,-2.152483960133643,K23,noEBV,8.001323465102603,K23,u_r_SDSSDR17_noEBV,,,17.126819610595703,16.43271255493164,16.006237030029297,15.247137069702148,16.1549129486084,,0.08449776470661163,0.014650886878371239,0.01599293388426304,0.04486706480383873,0.11657664179801941,,NNNNNM,111112,0.0,PH,0.8180811692582838,0.05878030023417824,0.03844302964715429,0.049705332938715305,0.034990167921668314,,,,,,-2.152483960133643,0.007039082250094825,8.001323465102603,1.0030520390325962E8,7.017664065449426E-11,-10.153807425236247,3629
1984626,176.664081,32.186771,0,46.12373414777946,11.280696,-1.9293668746810402,K23,noEBV,8.46959709251866,K23,u_r_SDSSDR17_noEBV,8.315902963361863,O3N2/C20,17.79423,16.47862,16.16472,16.01741,15.97639,,0.0245376,0.004892254,0.005161813,0.006403376,0.0220809,,SSSSSM,111112,0.0,SVM3d,,,,,,,,,,,-1.9293668746810402,0.01176611598959732,8.46959709251866,2.948472574620566E8,3.990580102686382E-11,-10.3989639671997,3639
5060393,243.714513,9.673332,0,50.58387713049511,12.116295,-2.1497425412412676,S18,UVOIR-SED,8.63263660093186,S18,UVOIR-SED,,,17.65391,16.75044,16.25758,16.12481,15.94098,16.6035995483398,0.03163433,0.0240944,0.0169663,0.02822416,0.07653188,0.0149739999324083,SSSSSP,111111,,,,,,,,,,,,,-2.1497425412412676,0.007083655937230788,8.63263660093186,4.291771593647775E8,1.6505202531549592E-11,-10.782379142173127,3682
1438242,175.942146,13.707567,0,45.1313401310996,11.094627,-0.7365467796941073,K23,EBV,9.175688065464044,K23,u_r_SDSSDR17_EBV,8.673701302068682,O3N2/C20,17.85472,16.30195,15.58605,15.26905,15.01788,15.0874004364014,0.01335929,0.003552475,0.00300896,0.003275646,0.006623791,0.00376600003801286,SSSSSP,111111,0.0,SoDDA,0.979,0.0034,0.0,0.0177,,,,,,,-0.7365467796941073,0.18342275840715794,9.175688065464044,1.4986080648970468E9,1.2239541658929945E-10,-9.912234845158151,3691
2124430,220.795365,38.345799,0,45.22841939648707,11.112836,-1.3539174683572566,L19,FUV+WISE4,9.046082531642744,L19,SSFRLIKE,8.589892365191625,O3N2/C20,16.72446060180664,15.659158706665039,15.174764633178711,14.902188301086426,14.799964904785156,15.1499004364014,0.03706497326493263,0.005047642160207033,0.01107834279537201,0.0044733514077961445,0.019276723265647888,0.00555500015616417,NNNNNP,111111,0.0,PH,0.7742132771308455,0.08528171265445003,0.05168555151434534,0.04608543605635277,0.042734022644006296,,,,,,-1.3539174683572566,0.04426724881364828,9.046082531642744,1.1119430165526187E9,3.9810717055349656E-11,-10.4,3728
