PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
881995,198.458658,-17.513222,0,32.938291407618394,8.798648,-0.016997090270088427,L19,WISE4,8.593002909729911,L19,FIXEDUL,8.391494614649405,MZ/C20,,16.44886184985203,16.157486412808623,16.087101226232267,15.873174164909202,15.9416999816895,,0.0036617731460047757,0.003241088405664715,0.003582373891991,0.005348581606088647,0.00838600005954504,MPPPPP,211111,0.0,PH,0.7106485573459362,0.13345816733253846,0.06319088484907155,0.04758901437550401,0.045113376096949785,,,,,,-0.016997090270088427,0.9616187211120428,8.593002909729911,3.917445017482593E8,2.4547089156850324E-9,-8.61,18308
58547,248.808451,-58.079525,1,31.0456,5.7188,1.1230277645229598,L19,NUV+WISE4,11.34302776452296,L19,SSFRLIKE,8.790414317186212,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,1.1230277645229598,13.274793210045813,11.34302776452296,2.2030673010333057E11,6.025595860743578E-11,-10.22,18372
5080,20.85041,9.433533,1,33.47463905617984,8.899933,-1.5050400098666814,L19,FUV+WISE4,9.80495999013332,L19,SSFRLIKE,8.688246325179236,MZ/C20,15.67342,14.04153,13.41272,13.12561,12.79978,13.4075002670288,0.01296446,0.002165637,0.002067223,0.002094609,0.003709554,0.00209200009703636,SSSSSP,111111,1.0,PH,0.13155830586470962,0.3375523361980838,0.28807662183294863,0.1155782211649452,0.12723451493931268,,,,,,-1.5050400098666814,0.03125791386818401,9.80495999013332,6.382046881588334E9,4.897788193684451E-12,-11.31,18523
3394279,183.686911,6.154476,0,31.829041976273118,8.588966,,,,8.039845305390797,K23,u_r_SDSSDR17_noEBV,8.23813141638464,MZ/C20,18.9054,17.57544,16.94344,16.68463,16.46072,16.5515995025635,0.05245259,0.007434884,0.006327959,0.00718135,0.01831684,0.0113390004262328,SSSSSP,111111,,,,,,,,,,,,,,,8.039845305390797,1.0960877029001759E8,,,18555
873937,202.671598,-18.01884,0,39.186517155378944,9.97708,-1.6068176157877254,K23,noEBV,8.624265047891328,K23,g_r_PSDR2_noEBV,8.400074249562437,MZ/C20,,16.11976864192477,15.677740907354838,15.471521847194044,15.247779582454537,15.3182001113892,,0.002230974638576025,0.0021841246514490518,0.0018017916246644082,0.003069568037145359,0.00595200015231967,MPPPPP,211111,0.0,PH,0.8247046964271392,0.054817916949808254,0.036633116352641236,0.04788540213829897,0.0359588681321123,,,,,,-1.6068176157877254,0.02472762376335687,8.624265047891328,4.2098347424616134E8,5.873775403567957E-11,-10.231082663679054,18573
5101,20.93206,6.691436,1,34.18742558189234,9.034506,-2.030395178353976,K23,noEBV,8.724299178901568,K23,u_r_SDSSDR17_noEBV,8.427418052786448,MZ/C20,17.68137,16.05049,15.56473,15.35364,15.39866,15.6073999404907,0.03811283,0.007346655,0.009466429,0.01105029,0.08753206,0.0101859997957945,SSSSSP,111111,0.0,PH,0.6790389281312754,0.13062472157418425,0.07068403214913059,0.07094879905971296,0.04870351908569674,,,,,,-2.030395178353976,0.009324054892822538,8.724299178901568,5.3002844673709023E8,1.7591612205387053E-11,-10.754694357255543,18647
3394017,184.585698,4.853795,0,31.886176652706645,8.599777,,,,8.470175867385041,K23,u_r_SDSSDR17_noEBV,,,18.0891,16.62371,16.0886,15.7509,15.53056,16.0379009246826,0.04053063,0.006015316,0.00587885,0.005567542,0.01862355,0.00926600024104118,SSSSSP,111111,,,,,,,,,,,,,,,8.470175867385041,2.952404559727226E8,,,18716
3394489,184.436487,6.082664,0,37.94171260211513,9.742645,,,,8.523885044928289,K23,u_r_SDSSDR17_noEBV,,,18.639976501464844,16.98855209350586,16.31900405883789,16.011341094970703,15.810686111450195,16.0722007751465,0.13613790273666382,0.009873425588011742,0.008705674670636654,0.012012074701488018,0.03370928019285202,0.0080359997227788,NNNNNP,111111,,,,,,,,,,,,,,,8.523885044928289,3.341065923657949E8,,,18744
133414,341.130561,-28.262207,1,36.205951704728776,9.415462,-2.46955853598332,K23,noEBV,8.217582690937054,K23,g_r_PSDR2_noEBV,8.287629132976223,MZ/C20,,16.059580542653496,15.715045488799278,15.808852427384293,15.690691938479073,15.8675003051758,,0.0031828572833959524,0.0028880986856450654,0.003728819902471413,0.0058994520008309554,0.0113390004262328,MPPPPP,211111,,,,,,,,,,,,,-2.46955853598332,0.0033918876921324075,8.217582690937054,1.6503752076633358E8,2.0552221557755775E-11,-10.687141226920374,18764
6753535,182.689815,20.592928,0,39.704713799716664,10.074666,,,,6.431640060739831,K23,u_r_SDSSDR17_noEBV,7.788254208383077,MZ/C20,18.35344,18.63261,18.31104,17.91659,18.15131,,0.08037036,0.02067205,0.04268479,0.06406021,0.1251574,,SSSSSM,111112,,,,,,,,,,,,,,,6.431640060739831,2701718.27677118,,,18824
