PGC,RA_HEC,DEC_HEC,F_ASTROM,D_v2,E_D_v2,logSFR_HECv2,logSFR_HECv2_origin,logSFR_HECv2_method,logM_star_HECv2,logM_star_HECv2_origin,logM_star_HECv2_method,Metal_v2,Metal_v2_method,U_v2,G_v2,R_v2,I_v2,Z_v2,Y_v2,U_E_v2,G_E_v2,R_E_v2,I_E_v2,Z_E_v2,Y_E_v2,Optical_phot_origin_v2,Optical_phot_QF_v2,Activity_class,Activity_class_method,SFG_prob_v2,AGN_prob_v2,LIN_prob_v2,COMP_prob_v2,PASS_prob_v2,Duplication_flag,Blending_flag,Star_contamination,WC_notes,Notes,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID
2121,8.879583,36.501944,0,0.7449,0.0369,,,,6.142254097647121,K23,g_r_SDSSDR17_noEBV,7.707228895896986,MZ/C20,21.49727,19.88743,19.5337,20.14251,18.99511,18.9473991394043,1.13402,0.08837055,0.04702804,0.04902941,0.1114515,0.0384339988231659,SSSSSP,111111,,,,,,,,,,,,,,,6.142254097647121,1387567.4313928173,,,4311
6727651,186.651778,12.920244,0,0.30742904199518767,2.5761752,,,,3.679680918938291,K23,g_r_PSDR2_noEBV,7.017710654805953,MZ/C20,,18.944282194675484,18.250655304825926,17.834353888431615,17.657712461117814,17.8306007385254,,0.00495078088938881,0.004031304230536993,0.005058954469390471,0.007289217356116975,0.0126670002937317,MPPPPP,211111,,,,,,,,,,,,,,,3.679680918938291,4782.78566537928,,,4327
6727652,186.660492,12.617428,0,2.5348883473901282,3.0046442,,,,5.28390295145576,K23,g_r_SDSSDR17_noEBV,7.466892616298838,MZ/C20,22.33811,20.84511,20.20398,20.10923,20.00455,19.7255001068115,0.4576243,0.03827676,0.02839564,0.03707055,0.1679571,0.0551239997148514,SSSSSP,111111,,,,,,,,,,,,,,,5.28390295145576,192266.20379762628,,,4338
6727656,186.735672,12.592283,0,10.562096533498062,4.544117,,,,6.1464318848746,K23,u_r_SDSSDR17_noEBV,7.708398650180496,MZ/C20,20.8147,19.79325,19.20937,18.89224,18.63268,18.8651008605957,0.1310149,0.0190328,0.01713719,0.01551211,0.0501758,0.0264940001070499,SSSSSP,111111,,,,,,,,,,,,,,,6.1464318848746,1400979.836807958,,,4344
2142,8.944261,-25.3741,1,9.7198,1.809,-0.5289421206432268,L19,FUV+WISE4,9.231057879356772,L19,SSFRLIKE,8.56124280863145,MZ/C20,,12.224288003120204,13.35974035279105,12.902959222258103,13.653880382335553,,,2.0624121758671893E-4,4.923807194200156E-4,6.706220003663546E-4,0.002213553355087262,,MPPPPM,211112,,,,,,,,,,,,,-0.5289421206432268,0.29584067134857156,9.231057879356772,1.7023853738260403E9,1.73780082874938E-10,-9.759999999999998,4407
2245249,212.711337,44.480518,0,2.933528027163642,3.0811768,-3.8929527145302165,K23,noEBV,6.243087086682192,K23,u_r_SDSSDR17_noEBV,7.73546140946106,MZ/C20,18.51749,17.49006,16.84279,16.41835,16.36379,16.1872997283936,0.02926708,0.00624844,0.005411667,0.005216793,0.009678881,0.0066019999794662,SSSSSP,111111,1.0,PH,0.02973545310196633,0.44746398983386854,0.09409454930139552,0.38585643375637707,0.04284957400639258,,,S?,,,-3.8929527145302165,1.2795206092650364E-4,6.243087086682192,1750197.6109334289,7.310720808164243E-11,-10.136039801212409,4495
5862322,223.178461,-0.538539,0,1.1205303974475744,2.7326546,,,,,,,,,24.57691,20.90257,18.84903,17.48566,22.8269,16.1506996154785,1.351176,0.1824475,0.02818576,0.01928639,1.708811,0.004056999925524,SSSSSP,000001,,,,,,,,,,S?,,,,,,,,,4780
6727692,187.595706,12.53021,0,9.786626761495619,4.395603,,,,6.687792547577494,K23,u_r_SDSSDR17_noEBV,7.85997174871984,MZ/C20,20.62604,19.75108,19.14425,18.90048,18.86905,18.6940994262695,0.1347468,0.01602963,0.01477659,0.01746836,0.06528468,0.0299820005893707,SSSSSP,111111,,,,,,,,,,,,,,,6.687792547577494,4872956.6463932935,,,4816
721922,341.112858,-30.059922,0,0.9162681102752686,0.5340572,-5.214180031859002,K23,noEBV,5.664676857043177,K23,u_r_SDSSDR17_noEBV_median,7.573508918283139,MZ/C20,,,,,,,,,,,,,MMMMMM,222222,,,,,,,,,,,,,-5.214180031859002,6.106888182937789E-6,5.664676857043177,462037.1082177544,1.3217311065109647E-11,-10.87885688890218,4825
5862323,223.31926,-0.622068,0,1.8276229946247897,2.8686495,,,,5.668305863371027,K23,g_r_SDSSDR17_noEBV,7.57452503399128,MZ/C20,22.68159,20.50407,19.19309,18.61614,18.42894,17.0368995666504,0.3274208,0.0446004,0.0177276,0.01499228,0.03681042,0.00674699991941452,SSSSSP,111111,,,,,,,,,,S?,,,,,5.668305863371027,465914.1103324735,,,4854
