variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
tau[1],5.040963536333333,4.9988150000000005,0.6086702422100515,0.6030253109999998,4.119065,6.110544,1.00016999048696,59187.423364611706,20735.02120968327
tau[2],1.0038369076666667,1.0027,0.0037164066619191603,0.0027428099999998626,1.00021,1.01135,1.0000454954377358,41125.098258663704,16403.851385498136
tau[3],5.042897930333333,4.9965150000000005,0.6117542811960849,0.6108089610000007,4.120979,6.10844,0.9999804389809472,64100.12301349667,22478.67316676194
tau[4],2.786068031,2.769565,0.23551317947112116,0.22851313800000014,2.4316895,3.2010605,0.9999228012676376,52098.262825161546,22974.80436272443
tau[5],2.4944756176666667,2.48257,0.1850798734310049,0.1828416450000002,2.212902,2.8191905,1.0003281655770206,49280.07221607673,22174.956138955247
tau[6],5.412389910333333,5.372405,0.6432398103725366,0.6413505209999993,4.425428,6.5407735,1.000478098200681,63425.77614886552,22056.748048435544
tau[7],3.664415048,3.62276,0.41332793992744854,0.3989528339999997,3.06199,4.406086,1.0000276232364964,61433.693502445596,22595.520947581892
tau[8],2.3062097716666665,2.2982199999999997,0.15475707808936717,0.15058026899999985,2.0681285,2.573103,1.0002534521924822,49676.036030342126,23055.174963291473
tau[9],2.8333357086666666,2.814045,0.2478320214524071,0.23602250699999994,2.4634489999999998,3.274943,1.0001346311341694,54754.6614131443,21894.386481009275
tau[10],5.751854406666666,5.71955,0.6477752210936419,0.6411355440000002,4.7447865,6.875431999999999,1.0000882467352796,64115.50136894819,21505.984865270315
tau[11],6.853052844,6.83312,0.6668689063210241,0.6677185619999999,5.7978305,7.989147,1.0006676353936417,59298.4176406827,21615.395478081995
tau[12],5.658213274666666,5.62928,0.6503157769271227,0.651120855,4.6470955,6.777666499999999,1.0003203341117937,60104.289214695375,21629.63599205334
tau[13],6.3977343903333335,6.368259999999999,0.6782951129388369,0.6781708919999999,5.3193660000000005,7.556355,1.0000906719529725,63759.806921021736,19997.878312865058
tau[14],5.486737134666667,5.45167,0.6364597549066637,0.635523903,4.497409500000001,6.582557,1.0000051961612402,62104.043722030416,20290.521262379014
tau[15],2.174413444,2.16814,0.13605182745031622,0.1323961799999999,1.9612375000000002,2.408606,1.00051812284937,53072.722024519455,23897.16428869361
tau[16],2.6396026773333334,2.62371,0.20942908660688894,0.20372406600000004,2.3242540000000003,3.0095834999999997,1.000151532905069,52408.30075613884,22515.961114872644
tau[17],7.012616958333333,6.981565,0.6785302103669206,0.6839011409999995,5.936163,8.1690105,1.0000910069205207,64096.5843835483,22478.684125341762
tau[18],5.1182507096666665,5.074785,0.621181374396681,0.6151603920000006,4.1702325,6.209976,1.0003479093487024,58654.47198728366,22766.21669258551
tau[19],4.802295343333333,4.7517499999999995,0.5943036450547814,0.5819946300000005,3.9196945000000003,5.856903,1.0003200650893025,55339.63978075969,21828.25552481877
tau[20],2.291889631,2.28378,0.1527828018931635,0.15103246200000017,2.05492,2.5541009999999997,1.000269913920064,51490.97621669898,23558.056715264276
tau[21],4.275926379333334,4.227375,0.5182543365902279,0.5024457270000006,3.5135974999999995,5.204899,1.0000557297550292,59858.81818712182,21429.763194398063
tau[22],6.007633045666666,5.981120000000001,0.6645499767450503,0.6707875439999995,4.969152,7.138576,1.0003721036363795,63441.10110100028,21776.66353952587
tau[23],7.038573285,7.015689999999999,0.6853971709382206,0.6850872210000007,5.9539665,8.1975505,1.000297226484547,61349.37694155246,21669.848676392205
tau[24],5.0449696946666664,4.998985,0.6098660594765243,0.6026620739999997,4.117595,6.1248205,1.0001600421843642,63519.25923508589,20655.77187037016
tau[25],4.600499578666667,4.552334999999999,0.5682497949268294,0.5550409619999997,3.7582055,5.608957,1.0001598547647776,59856.04853138487,21749.16508000444
tau[26],3.3602131126666666,3.3238700000000003,0.35389669813920244,0.33700980600000047,2.8494695,3.9935919999999996,1.0001540906169712,55439.01603857748,21984.641711338874
tau[27],4.516249809,4.470705000000001,0.5580664355547554,0.5464641209999985,3.6910875,5.515542,1.000403943818457,62999.81675735146,20839.032636651085
tau[28],4.817396104,4.77161,0.5884246289362236,0.5773689179999999,3.9332535,5.8550795,0.9999896458665664,64144.00656204335,20969.224751098754
tau[29],3.14313682,3.115585,0.3065452573343465,0.292465089,2.6942825000000004,3.6888094999999996,1.0001747093113584,58345.887020683855,22006.949001662702
tau[30],2.9793674483333334,2.95546,0.2754070453229537,0.2635321500000001,2.5708495,3.462472,1.000287912564085,57593.84070151998,22525.62484390941
tau[31],6.064484057333333,6.033215,0.6699792358058358,0.6724702949999998,5.0186075,7.214428,1.000158157176437,68613.13244472932,20437.19704799805
tau[32],5.268032294666667,5.2288250000000005,0.6353793220711901,0.6218246789999998,4.298522500000001,6.387079999999999,1.0001438825635818,62443.103602560266,21868.367416551246
tau[33],6.943590562333333,6.91849,0.6801456513525386,0.679001148,5.875091,8.094397500000001,1.0004439874925388,68621.15702323536,20875.559258683126
tau[34],5.309093082,5.268190000000001,0.6384997258471284,0.6337003049999999,4.3353885000000005,6.420141,1.0008581584317247,63323.532058444674,20059.933524546395
tau[35],6.0588492616666665,6.02711,0.6621781403279099,0.6563618460000006,5.0183824999999995,7.182134,1.000099972450802,63138.5523475039,21321.66728046052
tau[36],2.9038004176666665,2.88181,0.25622826211345046,0.2483058480000004,2.5213275,3.3525325,1.0006823254277566,58217.75542418703,22558.769234012616
tau[37],2.3080916703333334,2.29863,0.1559048965515375,0.15143276400000016,2.0677495,2.5778844999999997,1.000159603497471,50418.77820761113,22938.574348554186
tau[38],2.32844198,2.319315,0.15782613115780966,0.15261884400000003,2.0837,2.6009104999999995,1.0005473238624751,51470.55907724942,22568.377417414657
tau[39],5.339496365666666,5.302125,0.6330686616523207,0.6253532669999998,4.3647095,6.453577000000001,1.0000785952769704,63753.70543516738,21505.949270705078
tau[40],2.887087531666667,2.8654149999999996,0.2569801855377491,0.24984033899999994,2.5055505,3.3370665,1.000211220922463,54469.092740453714,23614.054739629184
tau[41],9.108623281333333,9.093495,0.6943833894941515,0.6942052110000012,7.9952594999999995,10.269515,1.0006183547281269,57303.32694080361,21656.105284234054
tau[42],3.273975227,3.23996,0.3356312906559181,0.3199228410000002,2.786958,3.8744975,1.0001227644622122,55341.61177271238,21531.488314327904
