t_sf_np,t_sf_sd,tau_np,tau_sd,A_np,A_sd,x_np,x_sd,id_np,id_sd,logSFR_today_pred_np,logSFR_today_pred_sd
7.8764843246666665,1.3341440100668434,4.202729083333334,0.9675397636083448,1191883356.0333333,215430997.47523254,1.9312090539,0.34580529522206227,3127,0,-1.5337485219333333,0.21502148638689278
7.439897802333333,1.2661477514359962,4.204661854666667,0.9719265035367692,709993111.6,139672834.20218292,1.8262738181,0.34193707143761287,3144,0,-1.7718706894333334,0.21791725386880384
12.034032730333333,1.4176204760749125,3.414325757,0.6620661333379096,1055716964.1333333,57326300.87460826,3.596980524666667,0.43824499689077423,3244,0,-1.4738160410666667,0.14368250282502892
12.226098131666667,1.3799494069633924,2.656197614,0.4466803750628584,144345843.23333332,3280365.508728142,4.661878512,0.42354617147891327,3280,0,-2.2910977176666667,0.11910111318094241
11.858249699666667,1.4437459955150254,3.650477168666667,0.7326357527582431,98011090.7,6466053.50140498,3.3213007353333333,0.4288328938370134,3367,0,-2.5327727803333335,0.15379790119838063
12.185873572,1.4096959069818022,2.8800775256666666,0.5189684497851003,568053061,17840513.061600994,4.298475301333333,0.44042313034477115,3385,0,-1.6992881460333333,0.12754021196590085
12.205407015666667,1.3953732827980172,2.2871677106666666,0.36268890930398834,397654437.1333333,5303132.09050841,5.387415581333333,0.4030896405744261,3407,0,-1.8722365156666667,0.11369836694475556
7.479391581,1.2601482350130073,4.182495036333333,0.9586418210107143,53507988.10333333,10237265.210327074,1.8438602682,0.33729607802925843,3469,0,-2.8868408166666666,0.21558345642519944
11.475459506666667,1.5271072833194712,3.9145756086666665,0.8249944375531001,46026664646.666664,3784979426.55608,3.002017074333333,0.408965054595801,3501,0,0.10734264841412533,0.1712416831285486
11.489240243333333,1.5132740258412896,3.9182030033333333,0.8135219998938507,4588140893.333333,371486960.53045624,3.0009552956666665,0.40566600684930004,3515,0,-0.895306268529,0.16887811923391324
12.191418877,1.3765088427429035,2.955651716333333,0.5289871676062984,534363889.56666666,18078093.42768305,4.191427678666667,0.43713294184632934,3565,0,-1.7310576652,0.12598300626007852
10.047004941666666,1.5859209776528975,4.1901206963333335,0.9373110961272619,3114399094,370910405.78282934,2.4595697093333335,0.37314769735839226,3572,0,-1.0948777050666667,0.19792387048562066
12.233819786,1.3689704744204414,2.6547642216666665,0.44516718169997993,383343280.6666667,8648206.92670998,4.667224445333333,0.4231924390769075,3576,0,-1.867686913,0.11763475576747112
5.795725552333334,1.007174101360172,4.16853304,0.974576084933538,8220971839.333333,2124236491.3788233,1.4422179354333333,0.30659735215958694,3588,0,-0.7777412590843333,0.23208335820230389
11.956796272333333,1.4353474939961979,3.535899606,0.6985934540648661,2857648136.6666665,171852247.92760763,3.4541427693333335,0.432127534232151,3608,0,-1.0546242115133333,0.14927496924997394
11.487528975333333,1.518245081146246,3.918026379,0.8201341491648216,4923263356.333333,403790204.5817798,3.0027873686666666,0.411148127250128,3622,0,-0.8644300504025233,0.17125082494722385
9.546661777666667,1.5753471409172064,4.204664699,0.9606255333205572,3105334968.3333335,411460127.90309846,2.331892812,0.3697475374674294,3673,0,-1.0979571191233333,0.20576537160641853
12.182398532666667,1.4150437369092868,2.074746832,0.32132902676902986,244302608.43333334,2477955.7123818747,5.919582249666667,0.3951908451021406,3726,0,-2.1232253586666667,0.11258791425876608
11.502762740333333,1.5047365044860639,3.9257661403333333,0.814220211978213,2183503624.6666665,178337334.6516076,2.998753213666667,0.4059860962134126,3759,0,-1.2197153247666668,0.16788443913361853
11.634252667,1.4832725994245666,3.850423364,0.7845968682463406,12688925590,966993827.0655462,3.0904275483333334,0.4098107063251845,3905,0,-0.44585776399773336,0.16325714597624771
7.783622496333333,1.3297328186919188,4.204233715666667,0.9773864905732339,1956761969.6666667,357451530.5190613,1.9087561615666666,0.3437520801293368,3938,0,-1.3204812598333333,0.21827801241303338
