variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
A[1],1999993238.3333333,1982055000,186506067.30045325,182011389,1726768500,2333171000,0.9999868498886114,62334.08092910093,20681.499110072975
A[2],13239205053.333334,13186200000,360794059.4165054,321872460,12761195000,13902915000,1.0001884851394358,53798.04538277894,21886.349631703186
A[3],506827114,502033000,47037257.33703299,45945774,437750850,592085300,1.000047365332997,64346.19892671306,21726.220901227207
A[4],172026191.53333333,171714500,2742388.3476348296,2521161.3,168149000,176939050,0.9999351868986945,52009.55314643761,21951.7269475481
A[5],5921033012.666667,5866550000,550121552.9990437,539384706,5126638000,6908564000,1.0000963329067931,59956.95895528603,23242.013584091845
A[6],662293667.4666667,656581000,64506118.915985085,64015702.8,566564600,776328949.9999999,1.0008390195906396,63185.2626557884,22006.231137037095
A[7],28624645.49,28313650,2255248.287201853,2162297.9699999997,25519360,32812245,0.9999681756581192,58403.09979821463,21412.95804801647
A[8],2185857043.3333335,2167740000,209381998.10813692,206726331,1879986500,2561141000,1.0005118179460395,60737.82120397701,22844.227554405614
A[9],180628227.03333333,178864000,10622586.841238933,9547944,166649950,200511050,1.0005330992618,56284.79691608499,20591.43863285186
A[10],493351048.03333336,489375500,47419974.27790962,46850160,422587250,577291600,1.0000322691980714,62902.15527038111,22018.052562090874
A[11],15208597390,15078750000,1439595357.0175843,1409878470,13080495000,17771045000,1.0005282739232624,65244.11926785125,20765.230265718925
A[12],149958784.8,148359500,9985278.308432478,9203980.799999999,136664900,168700100,1.0001538605052862,58555.24475987017,20494.72042536258
A[13],1813332675.3333333,1810930000,24859468.659285385,23150799,1777309000,1857351000,1.0004430855629753,54568.68666650924,22417.77653033283
A[14],301434338.9,300915000,4668498.521722843,4311400.8,294787850,309744050,1.0000830508383018,50163.71294872882,22435.751737701787
A[15],18573327466.666668,18423450000,1788806777.1930501,1757325780,15911390000,21728820000,1.0003119075423497,60524.20432761572,21738.583690873995
A[16],751759676.1333333,743835000,63999204.707310356,60828112.8,661646300,869546650,1.0001403443657,59710.081620743105,21404.888564618657
A[17],2277778816,2256945000,214811059.83261746,207927237,1964819500,2663777500,1.000419747058039,60844.74806770871,21998.672611993956
A[18],834500276.3333334,829727000,30070246.6836444,26795771.099999998,795387950,890055049.9999999,1.0000041093362202,54916.44451757191,22261.159228321227
A[19],4036587309,3992100000,305980640.0183472,287995050,3622789500,4603102500,1.0002950180254964,60517.578407018176,21296.706151226543
A[20],76657773.82666667,76527650,1209169.7797690916,1131001.41,74942595,78824505,1.0001740081807542,54045.52652596432,23319.047997561083
A[21],606785524.9666667,600868000,55817090.21932615,54219423.3,525801950,707666550,1.0001642941446616,57361.97421519926,21465.60446527069
A[22],359973366.6666667,359959000,2939470.0503256447,2926652.4,355157000,364822050,1.0002166234372476,57852.962874973375,21058.263006804198
A[23],620743511.5333333,620669500,5103912.439884405,5047511.699999999,612474950,629206150,1.0003308086420593,58385.89945839484,23630.567573929937
A[24],103809870.61666666,103308500,3118803.3749130983,2736138.3,99731680,109596150,1.0002098736979779,52114.35928775012,21194.347036821167
A[25],348569151.93333334,348526000,2988880.928222083,2947408.8,343742750,353553050,1.0002704970472869,56818.342744140515,22096.787195102872
A[26],5965733847,5914205000,565427401.8168334,557220384,5131315500,6962949499.999999,1.0001466068229292,59335.05338428684,22840.36881600417
A[27],14297633986.666666,14297400000,111025833.77198891,111639780,14115395000,14480700000,1.000572409785988,61120.07624587738,19822.62627963873
A[28],23595799863.333332,23358000000,2175564098.9430614,2098768560,20464390000,27544925000,1.0002386000140762,58439.00699764205,23059.770431728157
A[29],4714487188.666667,4705850000,77011697.86950138,71179626,4605379000,4851360500,1.0004368561797603,52749.38591714304,21364.68155036713
A[30],161445936.66666666,160461500,5793978.571595845,5077163.699999999,153974000,172308500,1.0000344784658461,56966.90609979677,21448.71702780946
A[31],652605028.4,652275000,6770809.941341496,6560505,642163950,664167050,1.0002162899376164,53095.38889437611,23121.098856119643
A[32],2103615147.6666667,2081835000,144296705.61691025,134812818,1911259500,2370861000,1.0000143553429062,60545.32994632882,21828.0391848113
A[33],3359897540,3353115000,56925448.871537596,52024434,3279920000,3462030500,1.000137089128423,53571.67439998442,21933.97169252531
A[34],3848889644.3333335,3814290000,358525030.33887255,349723101,3319035500,4493523500,1.000261738996118,63023.3996267242,22192.88981001311
A[35],2669474239.6666665,2643780000,246052637.72296008,239536269,2313344500,3109517500,1.0001370285825042,62272.89691677273,20602.420037723008
A[36],23424121430,23194950000,2195031423.1635447,2138576370,20231150000,27400375000,1.000140887271004,63392.54773951985,20822.023870526864
A[37],232877060.93333334,231665000,7626332.478056277,6801427.5,222983950,247028350,1.0001751665245102,53123.103415031874,21038.393216719895
A[38],213456780.8,211548500,11575160.931214051,10527942.6,198480000,235131050,1.000367940962206,55119.75929255582,21463.37654037141
A[39],17222364666.666668,17066650000,962863123.5868268,868284690,15957090000,19004990000,1.0002637805364931,60155.56777718107,20150.045108783044
