t_sf,t_sf_sd,tau,tau_sd,A,A_sd,x,x_sd,id,id_sd,source_dataset,cumulative_step,model,base_group
13.220000879166667,0.29637146413441207,3.98213540125,0.47415395587930315,630057484.7916666,36074845.22823619,3.36372427875,0.37983480776980033,3402,0,Hec_10,2,skew,WholeHEC
13.237107829166666,0.28684840640769055,3.3556419441666665,0.34938411426983373,209173.11858333333,7475.039607380139,3.98365524,0.38563948219265426,4003,0,Hec_10,2,skew,WholeHEC
13.2385375875,0.2916434396997925,3.4018412670833333,0.3627893247822433,2719524.795,102135.47419748458,3.931860715,0.3900637463916838,4096,0,Hec_10,2,skew,WholeHEC
13.246685379166667,0.28467106465874226,2.012639432083333,0.1148766123558638,718044.9760416667,5997.539824180573,6.599288520416667,0.3320754865234277,4104,0,Hec_10,2,skew,WholeHEC
13.2417140875,0.28599747157250377,3.0333220783333332,0.287975946617795,213344.71316666665,5491.180159677977,4.401054780416667,0.3884046583044349,4262,0,Hec_10,2,skew,WholeHEC
12.957005754166667,0.39561149166236337,6.20132958,0.6695074001647107,3602074276.6666665,340760741.87420744,2.1127002833333335,0.22716581124192728,4407,0,Hec_10,2,skew,WholeHEC
13.158513895833334,0.3232220538700812,4.939631914166666,0.6061858911989426,3070339.2225,251834.46463626908,2.7021208325,0.3224468626482896,4495,0,Hec_10,2,skew,WholeHEC
13.246683058333334,0.2829052797940839,2.5304588270833333,0.19012822520020317,621778.8878333333,8322.095038379948,5.260925502916667,0.36287420776673146,4825,0,Hec_10,2,skew,WholeHEC
13.0172825625,0.3722371863552028,5.952808762916667,0.6582059898515955,5646128.705416666,522832.092371326,2.2124827291666667,0.24348161112388575,5197,0,Hec_10,2,skew,WholeHEC
13.130257658333331,0.33455220814248926,5.1978285275,0.6299084522784976,132578.21958333332,11436.703747509966,2.5615656045833335,0.303162899460081,5268,0,Hec_10,2,skew,WholeHEC
13.245209229166669,0.2865881465369392,2.9833511375,0.27206292750278593,919467.4515416666,21842.29838636535,4.472934503333334,0.3775636895229027,5766,0,Hec_10,2,skew,WholeHEC
13.085095779166666,0.3530846156310732,5.547193377916667,0.655585902508487,13848106.966666669,1258057.8574739704,2.390493412916667,0.278061489568729,5839,0,Hec_10,2,skew,WholeHEC
13.206596754166666,0.2990150739686609,4.306484502916667,0.5289078075007222,2819341.32125,189357.3820802822,3.1099625529166666,0.3633098653849177,5898,0,Hec_10,2,skew,WholeHEC
13.241625045833333,0.2845837596290995,3.277316854166666,0.3388732530003591,229360.46,7700.652434213806,4.079676699583334,0.3920474056835781,5920,0,Hec_10,2,skew,WholeHEC
13.167640729166669,0.3168523489845268,4.82776430375,0.5989263375809393,494766.5960416667,39874.51791462372,2.767425349583333,0.33273666189042755,6095,0,Hec_10,2,skew,WholeHEC
12.894922408333333,0.4111434888422581,6.423969352083334,0.6758219209041313,2053249.88125,198254.4134735113,2.02854903,0.2135507256318192,6107,0,Hec_10,2,skew,WholeHEC
13.248098404166669,0.2825089265479396,2.600919103333333,0.20235427697943892,215017.69175,3148.041509248981,5.12085653,0.3656395379091328,6158,0,Hec_10,2,skew,WholeHEC
13.2464790875,0.28363135547894935,3.016815859583333,0.28244091110305203,381801.0574583333,9587.303561714987,4.42571713375,0.38504068822534415,6208,0,Hec_10,2,skew,WholeHEC
13.2018826375,0.30245942743065335,4.3061682870833335,0.5315979380933672,28491.2435125,1925.0943666728228,3.109554527083333,0.3654586773946267,6297,0,Hec_10,2,skew,WholeHEC
13.246965725,0.2809535760403958,2.1489878754166667,0.1327568654511089,76102120250,672981781.118436,6.184013367083334,0.340673704389483,6559,0,Hec_10,2,skew,WholeHEC
13.245953066666669,0.2839157814597238,2.8980858141666666,0.25607072889956356,259379.09516666667,5564.506607681801,4.602471985,0.3745156265957736,6620,0,Hec_10,2,skew,WholeHEC
13.250679566666667,0.28096974992276486,2.4131998033333333,0.169607632367133,1340385.4241666666,15332.980053574203,5.514592912916667,0.3543336214653241,6631,0,Hec_10,2,skew,WholeHEC
13.2478891375,0.28029764969957777,2.8102773725,0.23951261216321287,84319948.53333333,1620400.4198423843,4.744779955833334,0.37402279305426234,6648,0,Hec_10,2,skew,WholeHEC
13.221892345833334,0.2954451490237522,3.861481825,0.4573472053796644,60850091.2,3267336.7654884495,3.4685324433333333,0.3869728772235761,6696,0,Hec_10,2,skew,WholeHEC
13.221531604166668,0.2937179879773213,3.963425066666667,0.4679667301365294,860108.5539166667,48180.266585378115,3.378923507916667,0.3756837840423424,6864,0,Hec_10,2,skew,WholeHEC
13.212613570833334,0.29755395405186263,4.1811902554166664,0.504890203349095,1229257.7070833333,77883.0773610513,3.203091047083334,0.3678443075913829,7016,0,Hec_10,2,skew,WholeHEC
13.101611741666666,0.34604117791263955,5.433175360833333,0.639936803564254,1500016.7941666667,132888.77209435528,2.44353494125,0.28309455047651677,7051,0,Hec_10,2,skew,WholeHEC
13.232812558333332,0.28945857811347275,3.5976430925,0.4051068777596579,1529355.48,68501.02321779955,3.72090649375,0.39108370515747054,7077,0,Hec_10,2,skew,WholeHEC
13.243136125,0.28565171634809333,1.9339554008333333,0.10552556878694767,48512535.2125,390277.4582826919,6.86404903125,0.32654283337862733,7397,0,Hec_10,2,skew,WholeHEC
13.059146358333331,0.3585759986279356,5.704690098333334,0.6627856648258189,1136706.49825,104870.50269278594,2.3187759104166665,0.2650836351398151,7450,0,Hec_10,2,skew,WholeHEC
